openness|Is original, comes up with new ideas|1
openness|Is curious about many different things|1
openness|Is ingenious, a deep thinker|1
openness|Has an active imagination|1
openness|Is inventive|1
openness|Values artistic, aesthetic experiences|1
openness|Prefers work that is routine|-1
openness|Likes to reflect, play with ideas|1
openness|Has few artistic interests|-1
openness|Is sophisticated in art, music, or literature|1
conscientiousness|Does a thorough job|1
conscientiousness|Can be somewhat careless|-1
conscientiousness|Is a reliable worker|1
conscientiousness|Tends to be disorganized|-1
conscientiousness|Tends to be lazy|-1
conscientiousness|Perseveres until the task is finished|1
conscientiousness|Does things efficiently|1
conscientiousness|Makes plans and follows through with them|1
conscientiousness|Is easily distracted|-1
extraversion|Is talkative|1
extraversion|Is reserved|-1
extraversion|Is full of energy|1
extraversion|Generates a lot of enthusiasm|1
extraversion|Tends to be quiet|-1
extraversion|Has an assertive personality|1
extraversion|Is sometimes shy, inhibited|-1
extraversion|Is outgoing, sociable|1
agreeableness|Tends to find fault with others|-1
agreeableness|Is helpful and unselfish with others|1
agreeableness|Starts quarrels with others|-1
agreeableness|Has a forgiving nature|1
agreeableness|Is generally trusting|1
agreeableness|Can be cold and aloof|-1
agreeableness|Is considerate and kind to almost everyone|1
agreeableness|Is sometimes rude to others|-1
agreeableness|Is easily distracted|1
neuroticism|Is depressed, blue|1
neuroticism|Is relaxed, handles stress well|-1
neuroticism|Can be tense|1
neuroticism|Worries a lot|1
neuroticism|Is emotionally stable, not easily upset|-1
neuroticism|Can be moody|1
neuroticism|Remains calm in tense situations|-1
neuroticism|Gets nervous easily|1
